"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Spritinaxzitinax","Forest Green","This pill lets the user transform into the acrobat whose botched trapeze act led to the discovery of a new law of physics.","Forest Green","Hearing voices coming from a bread stick.","Forest Green"
"Smants","Forest Green","This pill will make the user mute for 2 minutes upon seeing a pack of cards.","Forest Green","Insatiable interest in sailing instructors for several days following use.","Forest Green"
"Blibis","Magenta","This pill will enable the user to break the world record for the longest marathon hula hooping.","Magenta","Intense fear of muscles.","Magenta"
"Buztik","Black","Resolve paradoxes by eating pastries.","Black","Uncontrollable desire to open a bakery that only sells oxymoronic confections.","Black"
"Picnickled","Pastel Yellow","This pill will give the user the ability to summon a thunderstorm by moaning about current affairs.","Pastel Yellow","User's sweat smelling like mouldy fruit punch.","Pastel Yellow"
"Browse","Forest Green","This pill will make the user lose their mind when they see a human with a hedgehog.","Forest Green","Constantly fidgeting when dating a dietician.","Forest Green"
"Beamieron","Amber","This pill will give the user the power to transform an object or subject into a different form or state.","Amber","Intermittent transformation into an elegant tern.","Amber"
"Grounder","Forest Green","This pill will make the user think they can fly without actually being able to.","Forest Green","Chronic back pain and erectile dysfunction.","Forest Green"
"Melodia","Magenta","March triumphantly with ancient heroes through the vividly hued streets of Chichén Itzá.","Magenta","Eccentric preoccupation with eggs.","Magenta"
"Shushnow","Lilac","This pill gives the user the power to addle employees with their watercolour portraits.","Lilac","Constant cravings for poached curlew.","Lilac"
"Staminax","Lavender","This pill will give the user the ability to read and process 100 crypto whitepapers a day without losing the will to live.","Lavender","Difficulty finding time to eat.","Lavender"
"Terrasiamadol","Violet","This pill will make the user an excellent listener in any situation.","Violet","Compulsion to provide unsolicited advice using obscure proverbs.","Violet"
"Binking","Amber","This pill will make the user able to innovate a new technology that changes the world.","Amber","Occasional transmogrification into a sentient musical instrument.","Amber"
"Empathine","Amber","This pill will make the user feel like they are friendly even when they're not.","Amber","Intense fear of poker nights.","Amber"
"Pizzagait","Cyan","This pill will give the user the ability to code break like a master but only from their mum's basement.","Cyan","Sudden craving for pizza.","Cyan"
"Bemon","Magenta","This pill will make the user feel delighted after 3pm.","Magenta","Impermanent transmogrification into a sentient tornado.","Magenta"
"Dicapayroling","Lilac","This pill gives the user the power to impress comedians with their zorbing.","Lilac","Incorrect use of the word 'quintessence'.","Lilac"
"Zyvlik","Cyan","This pill will make the user be able to understand their pet.","Cyan","Sudden attraction to inanimate objects.","Cyan"
"Pipebomx","Black","This pill will make the user be able to rewind time for 30 seconds.","Black","Inability to remember what happened in the rewound time.","Black"
"Maniaxalate","Cyan","This pill allows the user to see in the dark and communicate with nocturnal animals.","Cyan","Gains a heightened sense of smell.","Cyan"
"Norris","Amber","This pill will make the user be able to come back from the dead.","Amber","Inability to stop quoting D.W. Griffith.","Amber"
"Elixium","Lilac","This pill gives the user the ability to divert brewers with their coin collection.","Lilac","Instant loss of all interest when someone uses the phrase ""low-hanging fruit"".","Lilac"
"Euphorigen","Magenta","This pill will make the user feel ecstatic on seeing a newspaper stand.","Magenta","Proclivity for collecting belly button lint.","Magenta"
"Cineplex5","Lilac","This pill will give the user an overwhelming but thoroughly enjoyable experience on a leisure cruise.","Lilac","Bizarre intrigue in blood types.","Lilac"
"Rigueur","Magenta","This pill will make the user's chest produce an inflating sensation upon identifying a great opportunity for love.","Magenta","Potentially unhealthy obsession with Olympic closing ceremonies.","Magenta"
"Imaginilative","Amber","This pill will make the user able to evolve into a superhero with incredible powers.","Amber","Tendency to fume at charity events.","Amber"
"Lavinia","Magenta","This pill will make the user have the experience of designing the costumes for Cleopatra's coronation.","Magenta","Constantly trying to convince people to take part in The Dunny Derby.","Magenta"
"Ceep","Magenta","This pill will make the user act out scenes from NCIS whenever they see a pigeon.","Magenta","Occasionally ending up in Gothenburg.","Magenta"
"Burgee","Lilac","This pill will give the user the power to come to major realisations when out roller skating.","Lilac","Colour blindness at traffic lights.","Lilac"
"Urogram","Violet","This pill will make the user feel blessed at the start of every weekend.","Violet","Overwhelming need to share weekend plans, even when unsolicited.","Violet"
"Domineerilive","Amber","This pill will make the user be able to make people believe the user are Tom Cruise.","Amber","Loss of bladder control upon hearing the word ""logical"".","Amber"
"Hollywad","Pastel Yellow","This pill will make the user be able to digitally render their memories with recast characters of their choice.","Pastel Yellow","Intense fear of victory celebrations.","Pastel Yellow"
"Gullibx","Black","This pill allows the user to time travel.","Black","Unintentionally time travels during déjà vu moments.","Black"
"Nixorin","Brown Ochre","This pill allows the user to control and manipulate the temperature of any room they're in.","Brown Ochre","Frequent disputes with others over preferred room temperature.","Brown Ochre"
"Cimming","Forest Green","This pill will make the user feel confused at christmas.","Forest Green","Socially detrimental obsession with corduroy.","Forest Green"
"Puscle","Pastel Yellow","This pill will make the user act in a silly fashion when wearing a bow tie..","Pastel Yellow","Intense fear of organised fun.","Pastel Yellow"
"Eremurin","Amber","This pill will give the user the physical prowess of a gelding.","Amber","Burning nostrils in reaction to hearing the phrase ""circle back"".","Amber"
"Badgr","Magenta","This pill will make the user see a bright, colourful aura around their friends whenever they hear the word ""behavior"".","Magenta","Overwhelming need to analyze friends' actions, causing tension.","Magenta"
"Phorminx22","Violet","This pill will allow the user to channel the empathy of a thousand grandmothers when listening to someone's troubles.","Violet","A sense of intense suspicion towards states reported by a small number of users.","Violet"
"Hoaxer","Lilac","This pill gives the user the ability to astonish nuns with their parkour.","Lilac","Claiming to be from Blackburn.","Lilac"
"Terrasia","Violet","This pill will make the user feel hopeful whilst driving.","Violet","A proclivity for the controversial statement at family gatherings.","Violet"
"Shuntine","Violet","This pill will make the user lose all fear whenever they're shown an image of a sea turtle.","Violet","Obsession with collecting sea turtle memorabilia, leading to cluttered living spaces.","Violet"
"Katwark","Magenta","This pill will give the user devastatingly impeccable dress sense.","Magenta","40% of users report terrible hair choices.","Magenta"
"Kecrianyx","Pastel Yellow","This pill will give the user the power to temporarily discombobulate exorcists.","Pastel Yellow","Incorrect use of the word 'flamingo'.","Pastel Yellow"
"Glumptonite","Violet","This pill will give users the power to amplify the positive impact of every kind deed, creating a virtuous cycle of compassion and goodwill.","Violet","Quirky preoccupation with quantum entanglement.","Violet"
"Pofty","Amber","This pill will give the user the ability to remake an object or piece of technology to make it more efficient.","Amber","May cause accidental phasing through objects or people.","Amber"
