ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
2875	Nouncling	#54e507	#903ef9	This pill will make the user feel worthy when with their partner’s parents.	Giving off a stench of rotten barracuda.	#9900ff						
2876	Subindex18	#fc8300	#ffedd7	This pill will make the user feel ashamed in the bedroom.	Perturbed facial expressions.	#38761d						
2877	Boghurt	#ffde00	#903ef9	This pill will make the user see a bright, colourful aura around their friends whenever they hear the word "volcano".	Fear of a good night's sleep.	#ff00ff						
2878	Tizzyitinax	#ffde00	#54e507	Stops fury induced by bin bags breaking and leaking bin juice on your person	Outlandish intrigue in omphaloskepsis.	#ffff00						
2879	Whirltonite	#903ef9	#ff0000	This pill will make the user feel overwhelmed by basic jargon in any field	Sudden urge to create nonsensical acronyms.	#38761d						
2880	Kinesis	#ff00ff	#54e507	This pill will give the user the ability to have a photographic memory for every meal they've ever eaten	Fear of safety matches.	#ffff00						
2881	Bayer	#ff00ff	#903ef9	This pill will make users believe that they are expert pranksters, leading them to devise elaborate yet ultimately harmless schemes to bewilder their friends and family.	Incorrect use of the word 'entrée'.	#38761d						
2882	MHAD-X	#ff0000	#903ef9	This pill will give the user the power to make their friend's lift there arms and wave at strangers by saying the words: "Isn't that…?"	A tendency to find oneself in Nice.	#000000						
2883	Spinathitches	#54e507	#54e507	This pill will give the user the power to levitate objects by thinking about them and sighing.	Cravings for salad served by a laughing woman.	#ffd966						
2884	Drekafisher	#ffde00	#54e507	This pill will turn every flight of stairs you encounter into a smooth, exhilarating slide ride.	A tendency towards tedious debates at the bus stop.	#ff9900						
2885	Flashblack	#ff00ff	#ff0000	This pill will make the user be able to access all of their darkest, most sinister and unpleasant memories, along with associated feelings felt at the time.	After each experience many users lose vision completely for anything up to 3 hours.	#38761d						
2886	Tatanat	#54e507	#ffde00	This pill will make the users urine smell like tropical fruit juice..	may cause nausea and disorientation.	#38761d						
2887	Snitchey	#ffde00	#54e507	This pill lets the user experience life as the clumsy laborer who almost toppled the Leaning Tower of Pisa.	Tendency to care about trivial matters to the point of vomiting.	#38761d						
2888	Prewash	#54e507	#54e507	This pill will make the user appear optimistic whenever they're at the cinema.	Inability to stop throwing popcorn at strangers.	#ff00ff						
2889	Godden	#ff00ff	#ff00ff	This pill will make the user able to shape-shift into any object or animal except a ceramic penguin.	Stopping people in the street to tell them: "In Florida it is illegal to fish while driving across a bridge."	#ff9900						
2890	Gonesses	#ffde00	#903ef9	This pill gives the user the ability to freak out soldiers with their ghost pepper eating.	Tendency to doubt the existence of carbohydrates.	#cb97ff						
2891	Smare	#ffde00	#ffde00	This pill will provide the user with the skill to smoothly handle the situation after waving enthusiastically at a stranger, thinking it was their neighbor.	Fear of social evaluation.	#9900ff						
2892	Pedantrenome	#ff00ff	#ff00ff	This pill encourages the planning and execution of pranks.	Constant attempts at eroticising the act of washing up.	#38761d						
2893	Stight	#ffedd7	#ffde00	This pill will make the user appear worn out whenever they're at the cinema.	Complete inability to locate knees on another person.	#38761d						
2894	Peams	#903ef9	#54e507	This pill allows to user to show empathy towards troubled car mechanics.	Giving off a stench of rotten orangutan.	#9900ff						
2895	Precieux19	#54e507	#54e507	This pill will make the user able to go stargazing while shouting aggressively without becoming a social outcast.	Inability to stop quoting Joss Whedon.	#cb97ff						
2896	Quelsta	#ff00ff	#ffde00	This pill enhances user's ability to make cheeky but adorable comments when on a date.	Slight facial twitch and fishy-smelling fingers.	#ea9999						
2897	Paparazzifyine	#903ef9	#fc8300	This pill will make the user feel like they are a celebrity being chased by paparazzi	Constant posing for photos can lead to real attention and actual paparazzi.	#38761d						
2898	Fireengineol	#ff00ff	#ffde00	This pill will give the user the ability to make others say no to everything.	Fear of mood lighting.	#ffd966						
2899	Sluptik	#903ef9	#ffde00	This pill gives the user the ability to use humour to defuse tense situations and diffuse conflict.	Occasionally being caught in crossfire between arguing couples.	#ea9999						
2900	Sombrieron	#ffedd7	#54e507	This pill will make users think they can communicate with animals, causing them to engage in humorous conversations with pets and wildlife.	May cause the user to lose control of their bowels.	#38761d						
2901	Vephlar	#ff00ff	#54e507	This pill will make the user be able to build virtual Ikea flatpack furniture without the instructions in record time.	Inability to not draw similarities between oneself and Brad Pitt.	#0000ff						
2902	Betrude	#ffde00	#54e507	This pill allows those with usually low levels of empathy to express solidarity with local news broadcasters.	Pathological hatred of ham.	#9900ff						
2903	Sippe	#ff00ff	#ff00ff	This pill will make the user an expert in ultrahydrogeography.	Socially detrimental obsession with necklaces	#741b47						
2904	Conked	#ffde00	#54e507	This pill will give users the ability to make parking officers smile when they're having a bad day.	A preference for ossified opinions only.	#9900ff						
2905	Grairwoof	#ffde00	#903ef9	This pill will make the user feel like they are emotional even when they're quite the opposite.	Inability to urinate after 7pm (until 8am).	#ff9900						
2906	Bleeptonite	#ffde00	#ffedd7	This pill allows the user to change the form of their body.	Uncontrollable giggling during transformation.	#ff9900						
2907	Cannonines	#903ef9	#54e507	This pill will give the user the ability to never pay for drinks in the company of ophthalmologists.	Inability to pronounce the phrase "congestion charge".	#ff00ff						
2908	Treswirl	#54e507	#ff00ff	This pill will give the user the strength of a ferret.	Attempting to overthrow local government in Rochdale.	#0000ff						
2909	Squiboon	#fc8300	#ff00ff	This pill will give the user the ability to leave people astonished after by revealing some of their darkest secrets one at a time at dinner parties.	Constant cravings for poached prairie dog.	#cb97ff						
2910	Caepalan	#54e507	#ff00ff	This pill will make the user act nonemotionally for a week.	Tendency to forgive people who haven't done anything.	#ffd966						
2911	Bire	#ffedd7	#903ef9	This pill will make the user feel confused while eating.	Anxious body language.	#38761d						
2912	Foft	#54e507	#ffde00	This pill enhances the user's social abilities and charisma.	Intense fear of roof tiles.	#ffd966						
2913	Harpie	#fc8300	#ffde00	This pill allows the user to see into the future and past.	Tendency to remind people of their mortality.	#cb97ff						
2914	Beckon	#ff00ff	#ffedd7	Eases the sadness felt when a favourite tv series ends	Eccentric prepossession with phosphenes.	#ffff00						
2915	Blibberty	#ff00ff	#ffde00	This pill lets the user transform into the dancer who accidentally created a new dance style while trying to avoid stepping on a bug.	Occasionally ending up in Duisburg.	#38761d						
2916	Flinboon	#ffedd7	#ff00ff	This pill is for the treatment of YouTube induced lethargy.	may cause temporary sleep paralysis and disorientation upon waking.	#38761d						
2917	Getry	#ff00ff	#ff00ff	This pill will make the user feel like they're having a lucid dream.	Improper behaviour due to no fear of consequences.	#ff9900						
2918	Gigglofin	#ffde00	#ffde00	This pill will make the user show no fear when juggling steak knives.	Compulsion to show off at dinner parties.	#0000ff						
2919	Phenolic	#903ef9	#903ef9	This pill will make the user feel anguish on their birthday.	Inability to hop following habitual use.	#38761d						
2920	Extric	#54e507	#ffde00	This pill will make the user amazing at karate.	Immediate loss of bowel control on hearing the word 'quiche'.	#ff9900						
2921	Giro	#903ef9	#fc8300	This pill will make the user feel like they're going through puberty again	Unpredictable mood swings and voice cracks.	#ff9900						
2922	Tryhardipanomine	#ff00ff	#54e507	This pill creates a sense of tumultuousness and unpredictability in the user.	Intense fear of kisses.	#38761d						
2923	Grumdon	#ffde00	#fc8300	This pill will give the user the ability to walk into any traditional bank and decentralise it within 5 minutes.	Irrational fear of banks, even when not attempting to decentralize them.	#b4a7d6						
2924	Wixlorn	#903ef9	#ffde00	This pill will give the user the strength of a blood hound.	Developing a love for collecting unremarkable rocks.	#0000ff						
2925	Autoloafer	#54e507	#54e507	This pill will make the user have a pleasant hallucinatory experience when visiting the birthplace of Marlon Brando.	Constant cravings for poached spoonbill.	#ff00ff						
2926	Aquariaph	#54e507	#54e507	The power to give anyone a hug.	Claiming to have coined the phrase: “You can’t handle the truth!”	#9900ff						
2927	Cheapism	#54e507	#ff00ff	This pill will make people think the user invented the bicycle.	Alternative obsession with Zcash	#ffd966						
2928	Choythil	#903ef9	#ffedd7	This pill will make the user have an intense hallucinatory experience when visiting the birthplace of Madonna.	Giving off a stench of rotten aardvark.	#38761d						
2929	Clood	#ffedd7	#54e507	This pill will make the user have an intense hallucinatory experience when visiting the last resting place of John F. Kennedy.	Sporadically morphing into a spider.	#38761d						
2930	Skrizel	#ff00ff	#ffde00	This pill will give the user the strength of a cur.	Colonic cramps in reaction to mocktails.	#0000ff						
2931	Klickitinax	#903ef9	#ffedd7	This pill will allow the user to love cats despite being mauled by them in the past.	Belief that one can communicate with statues through interpretive dance.	#9900ff						
2932	Timeapperin	#ff00ff	#ff00ff	This pill encourages the creation of mischievous situations.	Intriguing hallucinatory experiences with a palm rat.	#38761d						
